URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE COUNT PER WORD,AVG WORD LEN,PRONOUN COUNT
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,102.0,40.0,0.4366197152350724,0.12251941318160532,26.64,0.26176176176176175,10.760704704704706,26.64,523,1159,1.874874874874875,5.163163163163163,4
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,95.0,49.0,0.31944444222608026,0.18922470408774678,20.4875,0.16473459426479561,8.26089383770592,20.4875,270,761,1.5893837705918243,4.293471629042099,8
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,91.0,46.0,0.3284671508871011,0.13564356422213508,22.470588235294116,0.2518324607329843,9.08896827841084,22.470588235294116,481,1010,1.8324607329842932,4.896335078534031,3
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,90.0,35.0,0.43999999648000004,0.16087516066811433,19.293478260869566,0.17295774647887324,7.786574402939376,19.293478260869566,307,777,1.6450704225352113,4.420281690140845,22
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,89.0,31.0,0.4833333293055556,0.12565445013020476,25.103896103896105,0.19399896533885153,10.119158027693985,25.103896103896105,375,955,1.6854630108639421,4.578375581996896,20
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,71.0,26.0,0.463917520990541,0.1409883718880983,25.392857142857142,0.180028129395218,10.229154108900945,25.392857142857142,256,688,1.6441631504922645,4.467651195499297,30
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,34.0,13.0,0.44680850113173404,0.10955710930173168,18.666666666666668,0.21428571428571427,7.552380952380954,18.666666666666668,180,429,1.6857142857142857,4.553571428571429,11
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,40.0,15.0,0.4545454462809919,0.14473684172437673,22.166666666666668,0.16917293233082706,8.934335839599,22.166666666666668,135,380,1.5764411027568923,4.363408521303258,2
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,101.0,38.0,0.4532374068112417,0.12150349639728714,29.790123456790123,0.20389556568586822,11.997607608990398,29.790123456790123,492,1144,1.6991297140489017,4.508081226688769,8
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,81.0,74.0,0.04516129003121749,0.12831125817192776,24.52747252747253,0.2025089605734767,9.891992595218404,24.52747252747253,452,1208,1.6832437275985663,4.404121863799283,0
